"stateroute","stops","scale","dir_all","dir_core","trend_tmax","trend_tmin","country","common_label","max_lc","countrynum","statenum","route","routename","active","latitude","longitude","stratum","bcr","landtypeid","routetypeid","routetypedetailid"
2035,"26-50",0.5,0.416504593370292,0.39963417048257,0.0421810394430955,0.0500032730477419,"US","Forest",-0.0059524291397232,840,2,35,"MCLELLAN",1,30.9977072,-86.8858316,4,27,0,1,1
2036,"1-25",0.5,0.388376774099038,0.38376959367325,NA,NA,NA,NA,NA,840,2,36,"BEATRICE",1,31.7399574,-87.2090516,4,27,0,1,1
2036,"26-50",0.5,0.40293379163541,0.40135291291607,NA,NA,NA,NA,NA,840,2,36,"BEATRICE",1,31.7399574,-87.2090516,4,27,0,1,1
2043,"1-25",0.5,0.355697178725603,0.391369696815771,0.0271514091252609,0.060213531689766,"US","Forest",-0.00873396337375032,840,2,43,"BLOCTON",1,33.1156047,-87.1007539,13,27,0,1,1
2043,"26-50",0.5,0.369701340888151,0.377846345561139,0.0289883983430867,0.0598230773774248,"US","Forest",-0.006710591890675,840,2,43,"BLOCTON",1,33.1156047,-87.1007539,13,27,0,1,1
2045,"1-25",0.5,0.444813400754745,0.455397073177023,NA,NA,NA,NA,NA,840,2,45,"WHITEHOUSE",1,34.1311637,-87.7621469,4,27,0,1,1
2045,"26-50",0.5,0.423627090932186,0.388139338594057,NA,NA,NA,NA,NA,840,2,45,"WHITEHOUSE",1,34.1311637,-87.7621469,4,27,0,1,1
2047,"1-25",0.5,0.416742021663588,0.437571804475778,0.0281450034479264,0.0502789698412105,"US","Forest",-0.00633562075365676,840,2,47,"JENA",1,33.1379607,-87.8205274,4,27,0,1,1
2047,"26-50",0.5,0.401817311353462,0.429939427207901,0.0314552274972436,0.056902276176922,"US","Forest",-0.0069296136999788,840,2,47,"JENA",1,33.1379607,-87.8205274,4,27,0,1,1
2050,"1-25",0.5,0.410782087127033,0.417373295193697,NA,NA,NA,NA,NA,840,2,50,"WHITEHALL",1,32.3276808,-86.7118894,4,27,0,1,1
2050,"26-50",0.5,0.389736184292298,0.40746393928621,NA,NA,NA,NA,NA,840,2,50,"WHITEHALL",1,32.3276808,-86.7118894,4,27,0,1,1
2052,"1-25",0.5,0.388923468446468,0.39348603602872,0.0302440305426184,0.0467375833902593,"US","Forest",-0.0106349590310546,840,2,52,"ESCATAWPA",1,31.2926075,-88.38516,4,27,0,1,1
2052,"26-50",0.5,0.365318293902758,0.374147537543854,0.0304273037109596,0.0491232017984166,"US","Forest",-0.0139140195615422,840,2,52,"ESCATAWPA",1,31.2926075,-88.38516,4,27,0,1,1
2053,"1-25",0.5,0.372553541785861,0.400796283043129,NA,NA,NA,NA,NA,840,2,53,"GROVE HILL",1,31.7097587,-87.7767179,4,27,0,1,1
2053,"26-50",0.5,0.382119891954133,0.381763582871346,NA,NA,NA,NA,NA,840,2,53,"GROVE HILL",1,31.7097587,-87.7767179,4,27,0,1,1
2054,"1-25",0.5,0.329641050155465,0.364566593435565,0.0629909454627013,0.040564330780015,"US","Wetlands",0.00510303034325749,840,2,54,"FAIRVIEW",1,31.2223969,-86.0994295,4,27,0,1,1
2054,"26-50",0.5,0.359235344797261,0.377088666377426,0.0596653155222779,0.0417925753438962,"US","Forest",-0.0081712627472632,840,2,54,"FAIRVIEW",1,31.2223969,-86.0994295,4,27,0,1,1
2057,"1-25",0.5,0.388264242900049,0.376445606932421,0.0267407523089565,0.0425856487764964,"US","Forest",-0.00240832204981736,840,2,57,"YOUNGTOWN",1,34.4236313,-87.3907904,13,28,0,1,1
2057,"26-50",0.5,0.424586510583098,0.413220953597318,0.0365997250039836,0.0441829176696632,"US","Forest",-0.00170202644848252,840,2,57,"YOUNGTOWN",1,34.4236313,-87.3907904,13,28,0,1,1
2060,"1-25",0.5,0.366085231495844,0.399195698166188,0.0312591247202531,0.0672841802936115,"US","Forest",-0.00521820721720592,840,2,60,"HOLT",1,33.2638251,-87.4241383,4,27,0,1,1
2060,"26-50",0.5,0.375387650491452,0.397631616671102,0.0301295417036547,0.065431864758146,"US","Forest",-0.00691338749824528,840,2,60,"HOLT",1,33.2638251,-87.4241383,4,27,0,1,1
2065,"1-25",0.5,0.368463300372418,0.355801003262119,0.0493256500249479,0.0353568994291272,"US","Forest",-0.00540222684075668,840,2,65,"CALEBEE",1,32.4341515,-85.8711729,4,27,0,1,1
2065,"26-50",0.5,0.405646276801548,0.431543548907032,0.0480122363102646,0.0421024411227124,"US","Forest",-0.00461653688884088,840,2,65,"CALEBEE",1,32.4341515,-85.8711729,4,27,0,1,1
2066,"1-25",0.5,0.34448388874176,0.370068956195474,0.022148502798806,0.0387400917082419,"US","Forest",-0.0151969394706111,840,2,66,"APPLETON",1,31.2283931,-87.0654001,4,27,0,1,1
2066,"26-50",0.5,0.365895784883378,0.368496474994273,0.0247685716563263,0.0400439946084411,"US","Forest",-0.0154428703671155,840,2,66,"APPLETON",1,31.2283931,-87.0654001,4,27,0,1,1
2072,"1-25",0.5,0.432211884412503,0.454507331919537,0.0477239906835074,0.0466011918552823,"US","Forest",-0.0052770789069928,840,2,72,"ELKMONT",1,34.9292307,-86.9887629,14,24,0,1,1
2072,"26-50",0.5,0.422705568936516,0.428527782326467,0.0510392449191427,0.0439729804468825,"US","Forest",-0.00509279306605864,840,2,72,"ELKMONT",1,34.9292307,-86.9887629,14,24,0,1,1
2140,"1-25",0.5,0.39623965585069,0.427051487724152,0.0398158180564367,0.0364981900994041,"US","Wetlands",0.003178269151601,840,2,140,"DAUPHIN IS 2",1,30.248466,-88.1123348,3,27,0,1,1
2140,"26-50",0.5,0.405189513422371,0.425614979756872,0.0365484556655767,0.0284738752040259,"US","Wetlands",0.00777828601416204,840,2,140,"DAUPHIN IS 2",1,30.248466,-88.1123348,3,27,0,1,1
2142,"1-25",0.5,0.379579162967088,0.416414267465664,0.0284147395775737,0.0414485149799443,"US","Agricultural",-0.00322306959652524,840,2,142,"ELBERTA",1,30.370222,-87.6024375,3,27,0,1,1
2142,"26-50",0.5,0.382550761930238,0.38432470446773,0.0268065514236069,0.0359958457064552,"US","Forest",-0.00928949180600364,840,2,142,"ELBERTA",1,30.370222,-87.6024375,3,27,0,1,1
3021,"1-25",0.5,0.403216029597914,0.371049169079135,-0.070308737293789,-0.0291053869155254,NA,NA,NA,840,3,21,"JUNEAU",1,58.4423687,-134.7660128,94,5,0,1,1
3021,"26-50",0.5,0.373539882891685,0.388530836557508,-0.107683418394384,-0.0693964135624166,NA,NA,NA,840,3,21,"JUNEAU",1,58.4423687,-134.7660128,94,5,0,1,1
3224,"1-25",0.5,0.425118424350689,0.410055957481141,0.0204328415831635,0.0606796991822153,NA,NA,NA,840,3,224,"ZIMOVIA STRT",1,56.4599307,-132.3798899,94,5,0,1,1
3224,"26-50",0.5,0.368299793053147,0.384682482689183,0.00485410974633546,0.0580931832453567,NA,NA,NA,840,3,224,"ZIMOVIA STRT",1,56.4599307,-132.3798899,94,5,0,1,1
3429,"1-25",0.5,0.357840782852335,0.371278001206578,0.00144137457481793,0.0514001211192931,NA,NA,NA,840,3,429,"ZAREMBO",1,56.3501108,-132.7665559,94,5,0,1,1
3429,"26-50",0.5,0.356649576317969,0.380523563340693,-0.00032141925163064,0.0530501466498243,NA,NA,NA,840,3,429,"ZAREMBO",1,56.3501108,-132.7665559,94,5,0,1,1
6052,"1-25",0.5,0.31026791322287,0.346492321025306,0.0903470068350911,0.200421361075691,"US","Forest",0.00495290436082268,840,6,52,"DRY PARK",1,36.3131479,-112.0319722,84,16,0,1,1
6052,"26-50",0.5,0.344981432102276,0.368170875673971,0.0926132172477818,0.219406397582799,"US","Grasslands",0.00225774892671754,840,6,52,"DRY PARK",1,36.3131479,-112.0319722,84,16,0,1,1
7020,"1-25",0.5,0.363457582613968,0.387610860614998,0.0393108842796791,0.0584280789143504,"US","Shrubland",0.00207719737688949,840,7,20,"RUPERT",1,35.6330837,-92.7182699,19,24,0,1,1
7020,"26-50",0.5,0.375953137707889,0.407188458919906,0.0370103889322665,0.0600070184834281,"US","Forest",-0.00407006397272052,840,7,20,"RUPERT",1,35.6330837,-92.7182699,19,24,0,1,1
7023,"1-25",0.5,0.356971490415924,0.363744579551428,0.0399594054940849,0.0668001635606542,"US","Forest",-0.0022031247580558,840,7,23,"LURTON",1,35.7806777,-93.0696409,19,24,0,1,1
7023,"26-50",0.5,0.387983313437228,0.377296174061523,0.0367150994520001,0.0643594340870127,"US","Forest",-0.00184887864933944,840,7,23,"LURTON",1,35.7806777,-93.0696409,19,24,0,1,1
7026,"1-25",0.5,0.346331163841454,0.358729171127561,-0.0250955547227743,0.0221163902746987,"US","Forest",-0.00531397408517084,840,7,26,"ZION",1,36.0989147,-91.7354059,19,24,0,1,1
7026,"26-50",0.5,0.355599459364875,0.354731917358949,-0.0196922961729765,0.0265326515143823,"US","Forest",-0.0061426512661418,840,7,26,"ZION",1,36.0989147,-91.7354059,19,24,0,1,1
7028,"1-25",0.5,0.382068791065008,0.37791569454456,0.0385752643438466,0.0579334368960475,"US","Urban",0.00134267528222386,840,7,28,"COMPTON",1,36.1206137,-93.2802279,19,24,0,1,1
7028,"26-50",0.5,0.386847006126854,0.396530365994137,0.0403523286417571,0.0543902572400057,"US","Urban",0.00143297013103048,840,7,28,"COMPTON",1,36.1206137,-93.2802279,19,24,0,1,1
88004,"1-25",0.5,0.395306587666743,0.401499109057023,0.0238718342515768,0.0444818976569062,"US","Agricultural",-0.00225140243544888,840,88,4,"CHURCHVILLE",1,38.1909534,-79.1647743,13,28,0,1,1
88004,"26-50",0.5,0.415493800395739,0.426470066428305,0.0290251870026596,0.0486981358920803,"US","Agricultural",-0.00274583963691376,840,88,4,"CHURCHVILLE",1,38.1909534,-79.1647743,13,28,0,1,1
88005,"1-25",0.5,0.434680346000498,0.42330069745832,0.0150922126765907,0.0686993040603893,"US","Urban",0.00262660307959105,840,88,5,"STANLEY",1,38.5758867,-78.5051729,13,28,0,1,1
88005,"26-50",0.5,0.420523677185877,0.407491976594821,0.0246957901373646,0.0649519147230055,"US","Urban",0.00176415687178591,840,88,5,"STANLEY",1,38.5758867,-78.5051729,13,28,0,1,1
88007,"1-25",0.5,0.442081630763724,0.431536115397838,0.0107883006209258,0.0562242266114766,"US","Urban",0.00234816530721577,840,88,7,"EDINBURG",1,38.8163337,-78.5638129,13,28,0,1,1
88007,"26-50",0.5,0.412515425135989,0.419849793947455,0.0166840885506831,0.0570084895237083,"US","Agricultural",-0.00133649447451952,840,88,7,"EDINBURG",1,38.8163337,-78.5638129,13,28,0,1,1
88014,"1-25",0.5,0.37306746828928,0.384441144380343,0.0278357052208297,0.052255608681696,"US","Forest",-0.00333054038051188,840,88,14,"PUTNAM",1,37.0178877,-81.9476239,21,28,0,1,1
88014,"26-50",0.5,0.360771385019433,0.383264133538532,0.0213504196648738,0.0543019056611052,"US","Forest",-0.00264983904757036,840,88,14,"PUTNAM",1,37.0178877,-81.9476239,21,28,0,1,1
88021,"1-25",0.5,0.348329178523272,0.339033991261411,NA,NA,NA,NA,NA,840,88,21,"COVESVILLE",1,37.8976577,-78.6894059,11,29,0,1,1
88021,"26-50",0.5,0.358181346362798,0.377812486050113,NA,NA,NA,NA,NA,840,88,21,"COVESVILLE",1,37.8976577,-78.6894059,11,29,0,1,1
88023,"1-25",0.5,0.41941609368392,0.414807367092186,0.024270911423965,0.0608223419534496,"US","Forest",-0.0049550146794204,840,88,23,"SHIPMAN",1,37.7014449,-78.7872126,11,29,0,1,1
88023,"26-50",0.5,0.394932269757059,0.401642768168631,0.0147108332316086,0.0519360153374506,"US","Forest",-0.00232736183409012,840,88,23,"SHIPMAN",1,37.7014449,-78.7872126,11,29,0,1,1
88028,"1-25",0.5,0.419070435449184,0.420915881577826,0.0264923827233375,0.0597701743509064,"US","Forest",-0.0069457175404668,840,88,28,"CHURCH ROAD",1,37.2171627,-77.6223439,11,29,0,1,1
88028,"26-50",0.5,0.406319743082668,0.414665934183956,0.028010570495636,0.0635874681719424,"US","Forest",-0.00606011390227484,840,88,28,"CHURCH ROAD",1,37.2171627,-77.6223439,11,29,0,1,1
88029,"1-25",0.5,0.377143033914014,0.396426237121073,0.00786368481018242,0.0833208083956509,"US","Forest",-0.00542453585425788,840,88,29,"WHITE STONE",1,37.6595013,-76.341428,4,30,0,1,1
88029,"26-50",0.5,0.37893189700504,0.394407779698966,0.0109081220565406,0.0847052301007787,"US","Forest",-0.00483995058405232,840,88,29,"WHITE STONE",1,37.6595013,-76.341428,4,30,0,1,1
88030,"1-25",0.5,0.37671560423987,0.362202407776623,0.0271868615470992,0.088245799322826,"US","Agricultural",-0.00191313048482776,840,88,30,"SHARPS",1,37.8800004,-76.6789481,4,30,0,1,1
88030,"26-50",0.5,0.369587416751704,0.391006436382851,0.026454797457582,0.08590126843048,"US","Forest",-0.0026984202136894,840,88,30,"SHARPS",1,37.8800004,-76.6789481,4,30,0,1,1
88037,"1-25",0.5,0.370253905851254,0.370998028770302,0.0492912391080487,0.0551924893782978,"US","Forest",-0.00267969384020496,840,88,37,"ELAMSVILLE",1,36.7674727,-80.1918559,23,29,0,1,1
88037,"26-50",0.5,0.396629834116034,0.380624373446351,0.0225819091612072,0.0701831417558151,"US","Urban",0.00215988598574822,840,88,37,"ELAMSVILLE",1,36.7674727,-80.1918559,23,29,0,1,1
88040,"1-25",0.5,0.397478462083406,0.415011211029875,0.0352850215458899,0.0520667920784818,"US","Forest",-0.00408526468194836,840,88,40,"RINGGOLD",1,36.6309512,-79.2532438,11,29,0,1,1
88040,"26-50",0.5,0.395047152080036,0.386338656697867,0.0345010752259848,0.0509429722763067,"US","Forest",-0.00614663944246636,840,88,40,"RINGGOLD",1,36.6309512,-79.2532438,11,29,0,1,1
88041,"1-25",0.5,0.386264653211051,0.370800178403501,0.0398021741762485,0.0660462582296202,"US","Agricultural",-0.00251376520078488,840,88,41,"WYLLIESBURG",1,36.8559727,-78.5908119,11,29,0,1,1
88041,"26-50",0.5,0.378109434973598,0.392363982786013,0.0398533603764414,0.0727400579605458,"US","Agricultural",-0.0026987853839508,840,88,41,"WYLLIESBURG",1,36.8559727,-78.5908119,11,29,0,1,1
88043,"1-25",0.5,0.422953381011565,0.435630573625306,0.0317858528417381,0.046094371296438,"US","Agricultural",-0.00291151277813452,840,88,43,"NEWSOMS",1,36.6057147,-77.1454409,4,27,0,1,1
88043,"26-50",0.5,0.442524470941901,0.445275747621913,0.0350633482435445,0.0370821393490125,"US","Agricultural",-0.00454639215840652,840,88,43,"NEWSOMS",1,36.6057147,-77.1454409,4,27,0,1,1
88044,"1-25",0.5,0.416000278487022,0.422028754715392,0.0317786103187102,0.048258507161446,"US","Agricultural",-0.00350840753454496,840,88,44,"BRANCHVILLE",1,36.5960851,-77.2865338,4,27,0,1,1
88044,"26-50",0.5,0.378761222626179,0.408455794879646,0.0307578550915307,0.0489543052979066,"US","Shrubland",0.00564150612371356,840,88,44,"BRANCHVILLE",1,36.5960851,-77.2865338,4,27,0,1,1
89001,"1-25",0.5,0.408134140994636,0.412228558579655,-0.0302601743794084,0.00587612924905419,"US","Forest",-0.0118491802376003,840,89,1,"OZETTE",1,48.2533397,-124.2718359,93,5,0,1,1
89001,"26-50",0.5,0.374670489342359,0.365515359676366,-0.0311813126269086,0.00822219095031719,"US","Forest",-0.0159569872149694,840,89,1,"OZETTE",1,48.2533397,-124.2718359,93,5,0,1,1
89002,"1-25",0.5,0.422242641996393,0.428190709477378,-0.00658552554381704,0.00607198744232645,"US","Urban",0.00589380244573384,840,89,2,"PORT ANGELES",1,48.1127527,-123.3860549,93,5,0,1,1
89002,"26-50",0.5,0.428800005035012,0.39927316293542,-0.00153826791959559,0.0118157182872143,"US","Urban",0.00566246865638915,840,89,2,"PORT ANGELES",1,48.1127527,-123.3860549,93,5,0,1,1
89003,"1-25",0.5,0.377132678334693,0.379357008205871,0.00938737809216364,-0.00588756685650963,"US","Forest",-0.00605432951722956,840,89,3,"WARM BEACH",1,48.1631507,-122.3354259,93,5,0,1,1
89003,"26-50",0.5,0.379344199482432,0.374794220709131,0.00412117037707427,-0.00434911828996198,"US","Forest",-0.0036696257901094,840,89,3,"WARM BEACH",1,48.1631507,-122.3354259,93,5,0,1,1
89004,"1-25",0.5,0.380517506282588,0.395659333196331,0.0245151258552918,0.0487027289979669,"US","Forest",-0.00231792247311456,840,89,4,"NEWHALEM",1,48.7004247,-121.2122809,67,9,0,1,1
89004,"26-50",0.5,0.36790281942696,0.379825729279928,0.0228670920708588,0.0324757284466335,"US","Barren",-0.00241094409821698,840,89,4,"NEWHALEM",1,48.7004247,-121.2122809,67,9,0,1,1
89005,"1-25",0.5,0.391885104433193,0.396722065257473,0.0429931731257046,0.0346514409856013,"US","Forest",-0.0030764607308636,840,89,5,"TWISP",1,48.3550687,-120.2118449,85,9,0,1,1
89005,"26-50",0.5,0.355770657589686,0.361748320551895,0.0492247685754553,0.0342037003418307,"US","Grasslands",0.0130669619091476,840,89,5,"TWISP",1,48.3550687,-120.2118449,85,9,0,1,1
89009,"1-25",0.5,0.421782282403819,0.403084684114356,-0.0239197333205721,0.0236573045567773,"US","Forest",-0.00530973568822964,840,89,9,"TAHOLAH",1,47.3475467,-124.2942279,93,5,0,1,1
89009,"26-50",0.5,0.354035431567631,0.339468350344423,-0.024471571683283,0.0194143219377194,"US","Forest",-0.00931427429028388,840,89,9,"TAHOLAH",1,47.3475467,-124.2942279,93,5,0,1,1
89023,"1-25",0.5,0.34206574626063,0.364275960396812,0.0551270347804149,0.0595874125914324,"US","Grasslands",0.00739893840021032,840,89,23,"ASOTIN",1,46.3417127,-117.0559849,65,9,0,1,1
89023,"26-50",0.5,0.388250499415137,0.373820527638348,0.0424803027219538,0.0407174779434766,"US","Grasslands",0.00894043901490456,840,89,23,"ASOTIN",1,46.3417127,-117.0559849,65,9,0,1,1
89027,"1-25",0.5,0.386787990793285,0.390661726260371,0.043292373907738,0.0134286506048557,"US","Forest",-0.00545476440087272,840,89,27,"KENDALL",1,48.9733887,-122.1426999,93,9,0,1,1
89027,"26-50",0.5,0.38309701949738,0.401430544519165,0.037108860004275,0.0226748777522309,"US","Forest",-0.00613277803772532,840,89,27,"KENDALL",1,48.9733887,-122.1426999,93,9,0,1,1
89029,"1-25",0.5,0.354742782505045,0.389462581819215,0.0378590625706922,0.040460557705816,"US","Shrubland",0.00892804738059196,840,89,29,"WINTHROP",1,48.5091787,-120.1732639,67,9,0,1,1
89029,"26-50",0.5,0.372023801339099,0.383634810015644,0.0399066033987806,0.0673308756706251,"US","Shrubland",0.0223315050601774,840,89,29,"WINTHROP",1,48.5091787,-120.1732639,67,9,0,1,1
89043,"1-25",0.5,0.309386783647535,0.318962884395415,0.0248938833282733,0.0610740719532821,"US","Barren",-0.00337967707628348,840,89,43,"PACKWOOD",1,46.4024557,-121.5554509,67,5,0,1,1
89043,"26-50",0.5,0.366152895852988,0.381127687367385,0.0310461486260101,0.0446451724875241,"US","Barren",-0.00262354129400455,840,89,43,"PACKWOOD",1,46.4024557,-121.5554509,67,5,0,1,1
89044,"1-25",0.5,0.383041383098071,0.393033596649044,0.0464921413628184,0.0579685305575335,"US","Shrubland",-0.00978728251274312,840,89,44,"ELLENSBURG",1,46.9554377,-120.5699539,85,9,0,1,1
89044,"26-50",0.5,0.373250558066982,0.374556583637703,0.0465468127224131,0.0596520088329645,"US","Grasslands",0.0122642858870396,840,89,44,"ELLENSBURG",1,46.9554377,-120.5699539,85,9,0,1,1
89066,"1-25",0.5,0.432282952528574,0.432725423748783,0.0181630519882135,-0.00535595064237913,"US","Wetlands",0.00401234767639767,840,89,66,"BAY VIEW",1,48.5374977,-122.4719929,93,5,0,1,1
89066,"26-50",0.5,0.436333027120643,0.481665879276886,0.0155082741194948,-0.00730955966702822,"US","Wetlands",0.00581730103360424,840,89,66,"BAY VIEW",1,48.5374977,-122.4719929,93,5,0,1,1
89075,"1-25",0.5,0.396350240833042,0.400902458107215,0.0209012869022099,0.0144843991394489,"US","Urban",0.000984458667683688,840,89,75,"MOSES COULEE",1,47.6640047,-119.6308899,89,9,0,1,1
89075,"26-50",0.5,0.348741757466129,0.365793296689438,0.0242477481248199,0.0194975157245637,"US","Grasslands",-0.00314706741037816,840,89,75,"MOSES COULEE",1,47.6640047,-119.6308899,89,9,0,1,1
89079,"1-25",0.5,0.357441219375745,0.369130062076377,-0.00816056936427856,0.015729583985298,"US","Forest",-0.0136694633867686,840,89,79,"RAINIER",1,46.8066477,-122.4157869,93,5,0,1,1
89079,"26-50",0.5,0.373659424534753,0.384889509918031,-0.0153193817607071,0.00933662428126355,"US","Forest",-0.0114715851833756,840,89,79,"RAINIER",1,46.8066477,-122.4157869,93,5,0,1,1
89111,"1-25",0.5,0.415705233817958,0.417618428709273,0.0205729075146551,0.0148045738394101,"US","Forest",-0.00708001300437092,840,89,111,"CARNATION",1,47.7443857,-121.9848029,93,5,0,1,1
89111,"26-50",0.5,0.421157751594008,0.434968771769297,0.0208064552060844,0.0230416824286575,"US","Forest",-0.00806827020442904,840,89,111,"CARNATION",1,47.7443857,-121.9848029,93,5,0,1,1
89145,"1-25",0.5,0.391977303644621,0.418829839077437,0.0424782647911311,0.0395807616247583,"US","Shrubland",-0.00839049547235568,840,89,145,"COLUMBIA NWR",1,46.9125327,-119.3681329,89,9,0,1,1
89145,"26-50",0.5,0.431345846179794,0.431353962875368,0.0456925317643271,0.0348087207335661,"US","Grasslands",0.00338171721519084,840,89,145,"COLUMBIA NWR",1,46.9125327,-119.3681329,89,9,0,1,1
90001,"1-25",0.5,0.355074821421298,0.353459417817834,0.0645551120077834,0.059749351766541,"US","Urban",0.00204217536071032,840,90,1,"HIX",1,37.7296134,-80.8195996,22,28,0,1,1
90001,"26-50",0.5,0.363687124935213,0.352770750322444,0.0569812350441441,0.0570294540121047,"US","Agricultural",-0.00339622510990208,840,90,1,"HIX",1,37.7296134,-80.8195996,22,28,0,1,1
90016,"1-25",0.5,0.387377037443896,0.395594486154111,-0.00868713705372199,0.0472807457307042,"US","Agricultural",-0.00231972092290281,840,90,16,"NICUT",1,38.7133034,-81.0222682,22,28,0,1,1
90016,"26-50",0.5,0.367750935160687,0.381421419270867,-0.00652149667329581,0.0477362609059848,"US","Agricultural",-0.00226605742115611,840,90,16,"NICUT",1,38.7133034,-81.0222682,22,28,0,1,1
90019,"1-25",0.5,0.376376593321823,0.377299920838867,0.0259913939098229,0.0516240714685159,"US","Agricultural",-0.00340308505186268,840,90,19,"PARADISE",1,38.5848407,-81.7998809,22,28,0,1,1
90019,"26-50",0.5,0.363918421747491,0.386287681567072,0.0297837618703936,0.0501484577949281,"US","Agricultural",-0.00335805055919892,840,90,19,"PARADISE",1,38.5848407,-81.7998809,22,28,0,1,1
90024,"1-25",0.5,0.412015533010833,0.398944228112146,0.0230177046940339,0.0350322510720611,"US","Urban",0.00152997463220356,840,90,24,"THREE FORKS",1,38.3420287,-80.3742359,24,28,0,1,1
90024,"26-50",0.5,0.410516353963598,0.431814036272986,0.015252892581464,0.0387067418232701,"US","Urban",0.00200604091867556,840,90,24,"THREE FORKS",1,38.3420287,-80.3742359,24,28,0,1,1
90026,"1-25",0.5,0.421563215254453,0.419761808189734,-0.00862439092807071,0.0603593927869203,"US","Agricultural",-0.0021274883183014,840,90,26,"CEDARVILLE",1,38.8296121,-80.7951792,22,28,0,1,1
90026,"26-50",0.5,0.392728325254313,0.392588414438798,-0.00567581956722229,0.0636497678091179,"US","Agricultural",-0.00210407788247254,840,90,26,"CEDARVILLE",1,38.8296121,-80.7951792,22,28,0,1,1
